ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
925,Hunar Sahota,Female,Bangalore,Karnataka,664786,Joint,Aadhar,3.36E+11,Commercial,21,17-03-2025,27-04-2025,08-05-2025,Connection Released,5746,Anahita Ganesh,Documents verification in progress
926,Vardaniya Gera,Male,Delhi,Delhi,825779,Individual,Aadhar,6.11E+11,Commercial,1,12-06-2025,,26-07-2025,Rejected,5185,Mohanlal Tata,Documents verification in progress
927,Anika Mane,Female,Mumbai,Maharashtra,233779,Joint,Aadhar,4.96E+11,Residential,3,10-01-2024,,24-01-2024,Rejected,6389,Tejas Sankar,Documents verification in progress
928,Yuvaan Dugar,Female,Delhi,Delhi,970464,Joint,Passport,P7826178,Commercial,32,12-05-2025,07-06-2025,08-07-2025,Pending,5088,Tara Agarwal,Documents verification in progress
929,Mishti Sarna,Female,Bangalore,Karnataka,866468,Individual,Voter_Id,VOT119192,Commercial,29,07-01-2025,23-01-2025,28-02-2025,Pending,6649,Akarsh Dey,Installation pending
930,Mohanlal Aggarwal,Female,Bangalore,Karnataka,55353,Individual,Aadhar,3.12E+11,Residential,20,03-09-2024,27-10-2024,29-09-2024,Rejected,6310,Indranil Sachdev,Installation pending
931,Fateh Gaba,Male,Kolkata,West Bengal,399136,Joint,Passport,P8254273,Residential,38,05-09-2024,12-09-2024,23-09-2024,Pending,6083,Suhana Sundaram,Documents verification in progress
932,Kimaya Kadakia,Female,Hyderabad,Telangana,756698,Joint,Passport,P4653534,Residential,46,05-04-2025,,29-06-2025,Pending,7236,Ehsaan Raj,Installation pending
933,Pihu Tata,Male,Bangalore,Karnataka,803185,Joint,Aadhar,7.99E+11,Commercial,26,11-02-2025,28-02-2025,13-03-2025,Approved,8609,Keya Wali,Documents verification in progress
934,Dhruv Bhattacharyya,Male,Jaipur,Rajasthan,247741,Joint,Aadhar,5.38E+11,Residential,24,05-06-2024,18-06-2024,24-07-2024,Connection Released,6446,Vidur Sachar,Installation pending
935,Riya Majumdar,Male,Bangalore,Karnataka,362647,Individual,PAN,xTYIX4253H,Residential,36,20-03-2025,,08-05-2025,Rejected,8530,Alisha Kaur,KYC failed
936,Adira Rege,Male,Lucknow,Uttar Pradesh,560387,Joint,Aadhar,8.31E+11,Commercial,13,18-05-2024,16-07-2024,26-06-2024,Pending,7596,Chirag Basak,KYC failed
937,Tejas Dhaliwal,Male,Chennai,Tamil Nadu,357034,Individual,Voter_Id,VOT392853,Residential,3,08-04-2024,27-05-2024,03-05-2024,Connection Released,4360,Ivan Date,Documents verification in progress
938,Ojas Sachdeva,Male,Bangalore,Karnataka,948499,Joint,Passport,P6530284,Commercial,27,26-10-2024,10-12-2024,10-12-2024,Approved,2360,Divyansh Khanna,Installation completed
939,Uthkarsh Mallick,Female,Pune,Maharashtra,644894,Joint,Passport,P5774348,Commercial,40,10-09-2024,15-09-2024,05-11-2024,Pending,3583,Farhan Sabharwal,KYC failed
940,Divyansh Gaba,Male,Pune,Maharashtra,407427,Individual,Voter_Id,VOT632314,Commercial,31,27-04-2024,,07-05-2024,Connection Released,5129,Oorja Hayer,Installation pending
941,Armaan Borra,Female,Mumbai,Maharashtra,217179,Individual,Aadhar,9.70E+11,Residential,7,09-05-2024,28-06-2024,25-05-2024,Approved,8957,Nirvaan Gola,Documents verification in progress
942,Jivin Karan,Female,Chennai,Tamil Nadu,210566,Individual,Aadhar,8.97E+11,Commercial,16,21-06-2025,31-07-2025,16-07-2025,Approved,4969,Hansh Mandal,KYC failed
943,Heer Saran,Male,Pune,Maharashtra,291572,Joint,Passport,P3607403,Commercial,4,15-06-2025,13-07-2025,10-07-2025,Pending,2209,Kiaan Sagar,KYC failed
944,Indranil Barad,Male,Hyderabad,Telangana,437471,Joint,Aadhar,1.12E+11,Commercial,17,20-06-2025,15-08-2025,21-07-2025,Approved,3778,Sumer Sachar,Documents verification in progress
945,Emir Bhatia,Female,Hyderabad,Telangana,30636,Individual,PAN,qgTsA2787l,Residential,37,07-06-2025,13-06-2025,18-07-2025,Approved,1986,Dhanush Sridhar,Installation pending
946,Ishita Rastogi,Male,Mumbai,Maharashtra,671126,Joint,Voter_Id,VOT724784,Commercial,50,28-03-2024,15-05-2024,29-03-2024,Approved,3587,Lakshit Master,Installation pending
947,Zara Raj,Female,Pune,Maharashtra,681938,Individual,PAN,SJLze3523y,Residential,7,25-04-2024,27-05-2024,08-05-2024,Pending,9539,Madhup Gala,KYC failed
948,Hansh Kade,Male,Kolkata,West Bengal,40879,Individual,Aadhar,9.04E+11,Commercial,40,29-09-2024,02-10-2024,05-12-2024,Rejected,8622,Fateh Divan,Documents verification in progress
949,Saanvi Amble,Female,Pune,Maharashtra,867265,Joint,Passport,P2312079,Residential,35,03-07-2024,11-07-2024,23-08-2024,Connection Released,6560,Vihaan Sawhney,Installation completed
950,Zara Wali,Female,Pune,Maharashtra,206876,Joint,Passport,P6434400,Commercial,26,03-03-2024,17-04-2024,17-03-2024,Rejected,4479,Abram Vig,Installation completed
951,Kimaya Mall,Male,Kolkata,West Bengal,197968,Joint,Aadhar,6.49E+11,Residential,13,23-05-2024,01-07-2024,12-07-2024,Rejected,4323,Shlok Mahajan,Installation pending
952,Anika Sampath,Male,Delhi,Delhi,232856,Individual,Passport,P1527953,Commercial,22,25-09-2024,22-11-2024,04-11-2024,Connection Released,8213,Lakshay Jha,Installation pending
953,Urvi Savant,Female,Mumbai,Maharashtra,80281,Individual,Passport,P4191194,Residential,42,22-03-2024,04-04-2024,27-04-2024,Pending,6810,Khushi Sehgal,Documents verification in progress
954,Ritvik Dewan,Male,Delhi,Delhi,412582,Individual,Voter_Id,VOT815374,Residential,11,05-03-2025,,10-03-2025,Connection Released,9075,Hiran Baral,Documents verification in progress
955,Aaina Barman,Female,Kolkata,West Bengal,534954,Individual,Passport,P7025515,Commercial,13,23-10-2024,05-12-2024,31-12-2024,Connection Released,6568,Nitya Solanki,Installation pending
956,Biju Biswas,Female,Bangalore,Karnataka,978601,Individual,Voter_Id,VOT797879,Residential,48,23-09-2024,10-10-2024,31-10-2024,Approved,5174,Chirag Reddy,Installation completed
957,Rania Krishnamurthy,Female,Pune,Maharashtra,439104,Joint,Voter_Id,VOT874867,Commercial,29,25-01-2024,12-03-2024,08-02-2024,Rejected,1529,Shalv Buch,KYC failed
958,Amira Yogi,Male,Hyderabad,Telangana,554206,Joint,Passport,P7809537,Commercial,29,10-02-2025,26-02-2025,28-03-2025,Connection Released,2831,Ishita Arora,Installation pending
959,Ranbir Mand,Female,Chennai,Tamil Nadu,378879,Individual,Passport,P3687536,Commercial,47,05-01-2025,,15-02-2025,Approved,5251,Ishaan Raju,Installation completed
960,Miraan Yohannan,Female,Kolkata,West Bengal,740659,Joint,Voter_Id,VOT359115,Residential,35,05-04-2024,,01-07-2024,Approved,4176,Mohanlal Chanda,Installation pending
961,Sana Tank,Female,Mumbai,Maharashtra,995632,Joint,Aadhar,4.78E+11,Residential,47,01-04-2025,28-04-2025,04-04-2025,Pending,5275,Advika Lal,Installation pending
962,Raunak D’Alia,Female,Delhi,Delhi,351999,Individual,Aadhar,6.40E+11,Commercial,21,17-12-2024,31-01-2025,18-02-2025,Pending,1706,Anya Kothari,KYC failed
963,Mamooty Rau,Female,Lucknow,Uttar Pradesh,265574,Individual,Passport,P2399606,Commercial,5,13-12-2024,18-12-2024,27-12-2024,Connection Released,7753,Kabir Goswami,Documents verification in progress
964,Inaaya  Thakkar,Male,Ahmedabad,Gujarat,631148,Joint,Voter_Id,VOT542212,Commercial,39,16-04-2024,08-05-2024,23-05-2024,Approved,9481,Devansh Yohannan,Documents verification in progress
965,Myra Kadakia,Female,Delhi,Delhi,597543,Joint,Voter_Id,VOT710612,Residential,25,08-02-2025,12-02-2025,14-04-2025,Rejected,1559,Nayantara Verma,Documents verification in progress
966,Hunar Aurora,Female,Hyderabad,Telangana,354224,Individual,PAN,MMlDI9091I,Commercial,25,23-09-2024,12-11-2024,08-10-2024,Approved,5837,Zaina Mannan,Installation completed
967,Ivana Khare,Female,Ahmedabad,Gujarat,708061,Joint,Aadhar,28054360328,Residential,44,06-04-2025,03-05-2025,19-04-2025,Pending,2322,Taran Mannan,Documents verification in progress
968,Ojas Saraf,Male,Chennai,Tamil Nadu,652973,Individual,Aadhar,1.54E+11,Commercial,27,23-04-2024,26-05-2024,03-06-2024,Pending,9450,Yuvaan Chopra,Installation completed
969,Indrajit Shanker,Male,Pune,Maharashtra,321061,Joint,Voter_Id,VOT139802,Residential,7,12-04-2024,25-05-2024,26-04-2024,Approved,5061,Prisha Buch,Documents verification in progress
970,Kabir Rajan,Male,Lucknow,Uttar Pradesh,375733,Individual,Passport,P6838243,Commercial,24,16-02-2024,11-04-2024,07-04-2024,Connection Released,8822,Samaira Mand,Installation completed
971,Krish Kadakia,Male,Jaipur,Rajasthan,12892,Individual,Aadhar,9.06E+11,Commercial,3,30-05-2024,,02-06-2024,Pending,3688,Hansh Sur,Installation pending
972,Indrans Gill,Female,Chennai,Tamil Nadu,886136,Joint,Voter_Id,VOT883211,Residential,36,28-06-2024,20-08-2024,16-09-2024,Rejected,6379,Drishya Hora,Installation pending
973,Armaan Mammen,Female,Hyderabad,Telangana,602224,Individual,Voter_Id,VOT686003,Residential,10,11-03-2025,30-03-2025,23-05-2025,Rejected,2608,Jiya Bali,KYC failed
974,Romil Sandhu,Male,Delhi,Delhi,221818,Individual,Aadhar,9.19E+11,Residential,46,30-05-2025,,16-07-2025,Approved,8786,Indrajit Khanna,Installation completed
975,Kartik Choudhury,Male,Lucknow,Uttar Pradesh,389851,Joint,Passport,P1286658,Commercial,21,01-03-2025,09-03-2025,02-04-2025,Approved,1328,Badal Subramaniam,Installation completed
976,Saira Acharya,Male,Delhi,Delhi,454303,Individual,Voter_Id,VOT553178,Residential,3,04-03-2025,19-03-2025,18-05-2025,Rejected,8853,Jivin Hora,KYC failed
977,Aayush Bal,Male,Hyderabad,Telangana,66716,Joint,Aadhar,1.30E+11,Commercial,48,15-12-2024,08-02-2025,05-02-2025,Approved,3950,Sana Malhotra,Documents verification in progress
978,Renee Khalsa,Female,Mumbai,Maharashtra,917931,Individual,Passport,P8629189,Commercial,44,29-04-2024,23-05-2024,16-06-2024,Pending,5443,Heer Garde,Installation pending
979,Rhea Som,Female,Delhi,Delhi,344211,Individual,Voter_Id,VOT640353,Commercial,46,27-05-2025,08-06-2025,07-06-2025,Pending,9434,Farhan Choudhury,KYC failed
980,Samiha Swaminathan,Female,Kolkata,West Bengal,474582,Individual,Passport,P4550873,Residential,32,20-12-2024,12-02-2025,04-02-2025,Connection Released,8311,Taran Varma,Documents verification in progress
981,Kaira Doctor,Female,Mumbai,Maharashtra,683244,Joint,PAN,OHmyO0935c,Commercial,26,05-02-2024,11-03-2024,15-04-2024,Rejected,5264,Arnav Mahajan,KYC failed
982,Jhanvi Sha,Male,Jaipur,Rajasthan,217728,Joint,PAN,aRDwr3409K,Residential,5,24-07-2024,30-07-2024,17-10-2024,Connection Released,5590,Priyansh Badami,Documents verification in progress
983,Hiran Bobal,Female,Kolkata,West Bengal,806716,Joint,PAN,SvFeM1196i,Commercial,30,02-01-2025,22-01-2025,24-02-2025,Connection Released,5003,Alisha Gopal,Installation pending
984,Kimaya Borah,Female,Bangalore,Karnataka,852850,Joint,Aadhar,9.30E+11,Commercial,27,30-01-2025,26-02-2025,08-03-2025,Rejected,7313,Akarsh Reddy,KYC failed
985,Rati Kaur,Male,Delhi,Delhi,598530,Joint,Passport,P3768559,Commercial,11,08-06-2024,17-06-2024,04-08-2024,Connection Released,2911,Charvi Apte,KYC failed
986,Misha Deep,Male,Hyderabad,Telangana,127036,Joint,Passport,P4231541,Residential,2,21-11-2024,13-01-2025,02-02-2025,Connection Released,8810,Hazel Chadha,Installation pending
987,Samaira Bhatnagar,Male,Hyderabad,Telangana,98486,Individual,PAN,CkbRP1502f,Residential,11,26-09-2024,20-11-2024,04-10-2024,Connection Released,3062,Akarsh Bhatt,Documents verification in progress
988,Jayesh Soni,Male,Kolkata,West Bengal,615836,Joint,PAN,ZgFGw4169t,Commercial,9,29-01-2025,05-02-2025,21-03-2025,Connection Released,9975,Lakshay Bandi,Documents verification in progress
989,Umang Golla,Female,Chennai,Tamil Nadu,894278,Individual,PAN,YExYF1376b,Residential,33,25-07-2024,19-09-2024,16-10-2024,Pending,9886,Ishaan Sahni,Installation completed
990,Riaan Sankaran,Male,Jaipur,Rajasthan,76158,Joint,PAN,mtyYN9521d,Residential,21,13-12-2024,29-01-2025,10-01-2025,Rejected,9846,Anvi Bhargava,Installation completed
991,Mishti Bhatnagar,Female,Chennai,Tamil Nadu,907502,Individual,Aadhar,7.77E+11,Residential,14,28-05-2024,19-06-2024,03-07-2024,Approved,9102,Bhavin Cheema,Documents verification in progress
992,Lavanya Devan,Female,Mumbai,Maharashtra,492761,Individual,Voter_Id,VOT432251,Commercial,28,17-09-2024,08-10-2024,24-09-2024,Connection Released,4783,Yuvaan Gulati,KYC failed
993,Lavanya Bhargava,Female,Ahmedabad,Gujarat,715188,Individual,PAN,ySTiY4132x,Commercial,6,17-06-2025,03-08-2025,16-07-2025,Pending,7514,Manikya Walla,Installation completed
994,Sana Ghosh,Male,Chennai,Tamil Nadu,930744,Individual,Passport,P1758249,Commercial,20,25-12-2024,01-02-2025,23-02-2025,Connection Released,7440,Yasmin Lala,KYC failed
995,Hansh Bhatt,Female,Mumbai,Maharashtra,538146,Joint,Aadhar,1.39E+11,Residential,30,29-06-2024,11-07-2024,09-08-2024,Pending,1474,Oorja Chanda,Documents verification in progress
996,Samiha Loyal,Male,Bangalore,Karnataka,771206,Joint,PAN,RCPhP9248G,Residential,46,31-05-2024,09-07-2024,08-08-2024,Pending,7308,Gatik Raval,KYC failed
997,Taran Biswas,Male,Lucknow,Uttar Pradesh,81908,Joint,Passport,P6775097,Residential,25,13-08-2024,,05-10-2024,Connection Released,9090,Kabir Yadav,Installation completed
998,Shray Venkataraman,Female,Jaipur,Rajasthan,980794,Joint,Passport,P1333789,Commercial,32,10-04-2024,21-05-2024,21-06-2024,Connection Released,8919,Hridaan Dada,Installation pending
999,Nakul Dara,Female,Delhi,Delhi,753412,Joint,PAN,xROKw1740v,Commercial,10,02-02-2024,26-03-2024,03-04-2024,Connection Released,5636,Romil Dhingra,KYC failed
1000,Vardaniya De,Male,Delhi,Delhi,410886,Joint,Aadhar,6.77E+11,Residential,35,14-04-2025,,04-05-2025,Connection Released,2554,Gokul Ramesh,Documents verification in progress
1001,Miraya Bhattacharyya,Female,Lucknow,Uttar Pradesh,962199,Joint,PAN,rWatW5270v,Commercial,43,12-06-2025,06-07-2025,25-07-2025,Approved,9490,Akarsh Setty,Documents verification in progress
1002,Trisha Batra,Male,Hyderabad,Telangana,231261,Individual,PAN,NApDB5356v,Commercial,11,18-03-2025,28-04-2025,19-03-2025,Connection Released,5719,Aniruddh Jayaraman,Installation completed
1003,Kismat Badal,Female,Pune,Maharashtra,30178,Joint,Voter_Id,VOT849955,Residential,6,28-08-2024,25-09-2024,31-10-2024,Pending,2529,Vaibhav Bedi,Installation pending
1004,Shanaya Chowdhury,Female,Pune,Maharashtra,945837,Joint,Passport,P4970610,Commercial,27,24-03-2025,19-05-2025,10-05-2025,Approved,7057,Dhanuk Lad,KYC failed
1005,Bhavin Gole,Male,Jaipur,Rajasthan,27396,Individual,PAN,czoOW4111I,Residential,13,11-03-2024,10-04-2024,29-05-2024,Connection Released,9577,Ishita Sahni,KYC failed
1006,Eva Bala,Female,Pune,Maharashtra,863155,Joint,Aadhar,1.85E+11,Commercial,48,15-08-2024,09-10-2024,07-11-2024,Rejected,8429,Tarini Zachariah,Documents verification in progress
1007,Hunar Majumdar,Female,Mumbai,Maharashtra,578075,Joint,Passport,P3338514,Commercial,5,05-03-2025,,17-03-2025,Approved,2698,Pranay Bawa,KYC failed
1008,Badal Shetty,Female,Bangalore,Karnataka,423078,Joint,Aadhar,7.43E+11,Commercial,26,14-02-2024,30-03-2024,26-02-2024,Connection Released,2754,Kabir Jhaveri,Installation completed
1009,Ayesha Grover,Male,Lucknow,Uttar Pradesh,845108,Individual,PAN,nUBot8754R,Commercial,49,28-06-2024,,06-07-2024,Approved,8097,Shaan Khatri,Installation completed
1010,Alisha Warrior,Male,Hyderabad,Telangana,19039,Individual,Passport,P4752500,Commercial,32,23-01-2025,13-02-2025,24-01-2025,Connection Released,7691,Ayesha Singh,Installation completed
1011,Raunak Badami,Male,Lucknow,Uttar Pradesh,570109,Individual,Aadhar,5.87E+11,Commercial,2,04-02-2025,01-03-2025,21-03-2025,Pending,4427,Anika Dara,Installation pending
1012,Aniruddh Bajaj,Female,Pune,Maharashtra,875859,Individual,PAN,fpCUV6348j,Commercial,19,20-08-2024,24-09-2024,29-09-2024,Pending,9179,Jayant Atwal,Documents verification in progress
1013,Nishith Bhagat,Male,Kolkata,West Bengal,959241,Joint,Voter_Id,VOT364842,Commercial,32,11-03-2024,28-04-2024,23-03-2024,Connection Released,7307,Jivika Jhaveri,Installation completed
1014,Ojas Bali,Male,Lucknow,Uttar Pradesh,314563,Individual,Passport,P9238743,Commercial,47,06-11-2024,27-11-2024,03-02-2025,Pending,2818,Dhanuk Dutt,Installation pending
1015,Shlok Hegde,Female,Ahmedabad,Gujarat,334022,Individual,Passport,P1759657,Commercial,32,03-09-2024,20-10-2024,13-09-2024,Approved,7570,Trisha Guha,KYC failed
1016,Kaira Srivastava,Male,Bangalore,Karnataka,620668,Joint,Aadhar,8.42E+11,Residential,18,23-02-2025,17-03-2025,13-04-2025,Pending,6994,Riya Walia,KYC failed
1017,Armaan Verma,Female,Lucknow,Uttar Pradesh,721366,Individual,Aadhar,9948840871,Commercial,31,24-11-2024,18-12-2024,24-12-2024,Rejected,3396,Umang Lad,KYC failed
1018,Manikya Halder,Male,Hyderabad,Telangana,149350,Joint,Passport,P8536260,Residential,7,26-04-2024,05-06-2024,27-05-2024,Approved,1842,Onkar Koshy,KYC failed
1019,Ahana  Golla,Male,Mumbai,Maharashtra,502676,Individual,Aadhar,6.42E+11,Commercial,42,12-06-2024,10-08-2024,05-09-2024,Rejected,8818,Kanav Thaker,Installation completed
1020,Nishith Shenoy,Female,Chennai,Tamil Nadu,418386,Individual,PAN,IVAcm0224N,Residential,16,20-10-2024,20-11-2024,30-10-2024,Approved,3491,Tiya Kohli,KYC failed
1021,Aradhya Bassi,Male,Pune,Maharashtra,920789,Joint,Aadhar,8.95E+11,Commercial,47,01-03-2024,17-03-2024,26-04-2024,Pending,3641,Aradhya Kibe,Installation pending
1022,Vaibhav Verma,Male,Chennai,Tamil Nadu,717341,Joint,Aadhar,3.56E+11,Commercial,11,30-07-2024,10-09-2024,07-09-2024,Connection Released,9906,Aaryahi Sha,Installation completed
1023,Divyansh Bhandari,Female,Pune,Maharashtra,967547,Individual,Aadhar,3.95E+11,Commercial,3,31-05-2024,10-06-2024,25-06-2024,Pending,9662,Shaan Varkey,KYC failed
1024,Hiran Bala,Female,Ahmedabad,Gujarat,94975,Individual,Aadhar,3.03E+11,Commercial,31,29-08-2024,20-10-2024,03-10-2024,Rejected,4980,Gokul Bail,Documents verification in progress
1025,Lakshay Sahota,Female,Ahmedabad,Gujarat,641555,Joint,Aadhar,6.68E+11,Commercial,21,25-06-2024,05-07-2024,08-09-2024,Rejected,8762,Anay Chopra,Documents verification in progress
1026,Armaan Sahota,Male,Pune,Maharashtra,103593,Individual,Voter_Id,VOT732550,Commercial,8,01-03-2024,28-03-2024,27-04-2024,Approved,5961,Jhanvi Khosla,Installation pending
1027,Yuvraj  Tara,Male,Jaipur,Rajasthan,422876,Individual,Aadhar,6.89E+11,Residential,28,19-08-2024,15-09-2024,13-11-2024,Approved,1831,Ela Seth,KYC failed
1028,Vanya Kakar,Female,Jaipur,Rajasthan,548474,Joint,Passport,P8004667,Residential,21,11-05-2024,30-06-2024,05-08-2024,Connection Released,7468,Taran Dixit,KYC failed
1029,Anahita Bora,Female,Chennai,Tamil Nadu,517985,Joint,PAN,hhQNC2194E,Residential,41,26-02-2025,19-04-2025,21-03-2025,Rejected,6176,Tushar Varghese,KYC failed
1030,Vidur Kannan,Male,Kolkata,West Bengal,908224,Individual,Aadhar,70468976583,Commercial,33,20-03-2025,22-03-2025,17-06-2025,Pending,7147,Jivin Bahl,KYC failed
1031,Badal Bava,Female,Chennai,Tamil Nadu,476206,Individual,Passport,P1969271,Residential,6,12-03-2024,01-04-2024,31-03-2024,Approved,3692,Tanya Sangha,Installation completed
1032,Trisha Kade,Female,Delhi,Delhi,342014,Individual,PAN,WtKiG6037K,Residential,7,04-03-2025,26-04-2025,29-04-2025,Pending,9199,Myra Sagar,Installation pending
1033,Azad Kashyap,Female,Delhi,Delhi,72530,Individual,Voter_Id,VOT339112,Commercial,22,22-12-2024,,12-03-2025,Connection Released,5910,Madhav Sur,Documents verification in progress
1034,Shlok Sridhar,Male,Delhi,Delhi,98769,Joint,Passport,P9226623,Commercial,31,05-01-2025,06-01-2025,23-02-2025,Connection Released,8889,Armaan Varghese,Installation completed
1035,Kashvi Dash,Male,Bangalore,Karnataka,808439,Individual,PAN,wePvC2281Z,Commercial,45,08-03-2025,05-05-2025,25-05-2025,Rejected,8225,Raghav Bera,KYC failed
1036,Devansh Krish,Female,Bangalore,Karnataka,374455,Joint,Passport,P9032220,Commercial,35,13-05-2025,15-06-2025,09-06-2025,Connection Released,9215,Indrans Toor,KYC failed
1037,Stuvan Doctor,Male,Delhi,Delhi,785875,Individual,Passport,P1082857,Residential,47,12-12-2024,,01-01-2025,Approved,9220,Vihaan Chada,Documents verification in progress
1038,Badal Mall,Female,Chennai,Tamil Nadu,326974,Joint,Aadhar,81918376341,Residential,19,10-05-2024,14-06-2024,15-07-2024,Rejected,1036,Hrishita D’Alia,Installation completed
1039,Yashvi Tripathi,Male,Hyderabad,Telangana,705775,Individual,Voter_Id,VOT646802,Commercial,41,10-06-2025,12-06-2025,04-07-2025,Rejected,3524,Zeeshan Doctor,Installation pending
1040,Tanya Magar,Female,Hyderabad,Telangana,265836,Joint,Passport,P1636302,Commercial,25,28-03-2025,11-04-2025,26-04-2025,Pending,7171,Dhanuk Trivedi,Installation completed
1041,Shaan Bhatia,Female,Bangalore,Karnataka,218622,Individual,Aadhar,8.34E+11,Residential,10,03-04-2025,12-04-2025,02-05-2025,Rejected,3821,Pari Kala,Installation completed
1042,Akarsh Sem,Male,Chennai,Tamil Nadu,968575,Individual,Voter_Id,VOT529870,Commercial,47,24-11-2024,16-01-2025,06-01-2025,Connection Released,5347,Emir Gulati,KYC failed
1043,Neelofar Kulkarni,Female,Lucknow,Uttar Pradesh,57261,Joint,Passport,P6335133,Commercial,6,02-01-2024,18-02-2024,08-01-2024,Rejected,2006,Lavanya Sinha,Documents verification in progress
1044,Azad Shan,Male,Bangalore,Karnataka,833838,Individual,Voter_Id,VOT358863,Commercial,40,28-10-2024,28-11-2024,22-01-2025,Connection Released,7467,Abram Upadhyay,Installation completed
1045,Ishita Khare,Male,Lucknow,Uttar Pradesh,979767,Joint,PAN,acIOp9875V,Commercial,4,11-05-2025,10-07-2025,16-06-2025,Approved,9863,Alia Dube,Documents verification in progress
1046,Indranil Thakur,Male,Jaipur,Rajasthan,110372,Individual,PAN,vbjHk0678f,Commercial,35,23-10-2024,29-11-2024,06-11-2024,Approved,2999,Azad Sama,Documents verification in progress
1047,Nakul Sami,Female,Lucknow,Uttar Pradesh,887593,Joint,Aadhar,9.76E+11,Residential,6,07-12-2024,11-01-2025,21-01-2025,Pending,1614,Charvi Chakraborty,Documents verification in progress
1048,Samarth Bassi,Female,Delhi,Delhi,352707,Individual,PAN,dirJB0263z,Residential,27,28-05-2024,10-06-2024,28-07-2024,Approved,6276,Dhanuk Karnik,Documents verification in progress
1049,Prerak Singh,Male,Bangalore,Karnataka,147556,Individual,Voter_Id,VOT847619,Commercial,8,29-06-2025,02-08-2025,10-08-2025,Connection Released,9895,Lagan Ahluwalia,Installation completed
1050,Aarush Acharya,Male,Ahmedabad,Gujarat,155173,Joint,Aadhar,2.36E+11,Residential,19,10-01-2025,05-02-2025,21-02-2025,Pending,3692,Devansh Borah,KYC failed
1051,Nitara Char,Female,Mumbai,Maharashtra,774680,Individual,Passport,P9749854,Commercial,6,04-11-2024,25-12-2024,16-12-2024,Rejected,3111,Prerak Mann,Documents verification in progress
1052,Raunak Kale,Female,Ahmedabad,Gujarat,803426,Individual,Aadhar,1.90E+11,Commercial,39,03-10-2024,,28-11-2024,Approved,4765,Aaryahi Datta,KYC failed
1053,Hansh Dugar,Female,Bangalore,Karnataka,291257,Joint,Voter_Id,VOT800058,Residential,10,17-08-2024,14-10-2024,12-09-2024,Rejected,7323,Mannat Dara,Documents verification in progress
1054,Yuvaan Bhandari,Female,Mumbai,Maharashtra,410121,Joint,Aadhar,2.92E+11,Commercial,39,04-01-2024,,17-01-2024,Pending,6109,Advik Bhagat,Installation pending
1055,Jayan Balay,Female,Bangalore,Karnataka,567605,Joint,PAN,qlKRJ9691L,Residential,47,11-01-2024,15-01-2024,19-01-2024,Approved,9360,Yuvraj  Buch,Documents verification in progress
1056,Ojas Tank,Male,Mumbai,Maharashtra,52459,Joint,Passport,P1006083,Residential,26,24-05-2025,27-05-2025,14-06-2025,Pending,1631,Aarush Batta,Documents verification in progress
1057,Indranil Dhawan,Male,Bangalore,Karnataka,397425,Individual,Aadhar,4.98E+11,Residential,19,05-06-2025,,10-08-2025,Rejected,7588,Hrishita Chacko,Documents verification in progress
1058,Siya Kaur,Female,Delhi,Delhi,858470,Individual,Voter_Id,VOT699895,Commercial,49,04-07-2024,,30-08-2024,Pending,4068,Aradhya Andra,Installation pending
1059,Hunar Krishnan,Female,Bangalore,Karnataka,376051,Individual,Aadhar,2.44E+11,Commercial,25,28-04-2024,,06-06-2024,Approved,7436,Vedika Karnik,Documents verification in progress
1060,Manikya Gill,Female,Pune,Maharashtra,745658,Joint,Passport,P4719093,Commercial,28,24-02-2024,19-03-2024,10-05-2024,Pending,1029,Ayesha Dey,KYC failed
1061,Romil Tailor,Female,Pune,Maharashtra,173741,Individual,Voter_Id,VOT549052,Residential,28,01-04-2024,06-05-2024,03-06-2024,Approved,4686,Prisha Bedi,KYC failed
1062,Indrans Dugar,Male,Lucknow,Uttar Pradesh,294943,Individual,Aadhar,55814431399,Residential,25,24-06-2024,29-07-2024,09-07-2024,Connection Released,8369,Keya Ray,Documents verification in progress
1063,Suhana Choudhry,Female,Hyderabad,Telangana,706965,Joint,Voter_Id,VOT449398,Commercial,35,26-11-2024,25-12-2024,10-12-2024,Connection Released,8492,Aarush Cheema,Installation pending
1064,Kiara Zacharia,Female,Hyderabad,Telangana,130222,Individual,Passport,P1670650,Commercial,2,01-06-2025,14-06-2025,06-06-2025,Approved,4773,Hansh Kata,KYC failed
1065,Elakshi Korpal,Female,Bangalore,Karnataka,402864,Individual,Voter_Id,VOT306069,Residential,18,26-01-2024,01-02-2024,19-03-2024,Approved,5291,Keya Ramanathan,Documents verification in progress
1066,Shray Kadakia,Male,Pune,Maharashtra,406923,Joint,Passport,P1636495,Commercial,28,17-08-2024,12-10-2024,18-08-2024,Connection Released,6634,Ahana  Kalita,Installation pending
1067,Riya Mall,Female,Chennai,Tamil Nadu,693228,Individual,Passport,P6167674,Residential,19,17-08-2024,30-09-2024,17-08-2024,Pending,2900,Yasmin Varughese,KYC failed
1068,Indranil Saini,Female,Delhi,Delhi,499851,Joint,Passport,P5929525,Commercial,43,09-04-2025,26-05-2025,08-07-2025,Approved,7051,Kiaan Joshi,KYC failed
